ProblemSet,RavensProblem,Agent's Answer
Basic Problems D,Basic Problem D-01,3
Basic Problems D,Basic Problem D-02,1
Basic Problems D,Basic Problem D-03,3
Basic Problems D,Basic Problem D-04,1
Basic Problems D,Basic Problem D-05,7
Basic Problems D,Basic Problem D-06,1
Basic Problems D,Basic Problem D-07,2
Basic Problems D,Basic Problem D-08,8
Basic Problems D,Basic Problem D-09,3
Basic Problems D,Basic Problem D-10,1
Basic Problems D,Basic Problem D-11,3
Basic Problems D,Basic Problem D-12,7
Basic Problems E,Basic Problem E-01,1
Basic Problems E,Basic Problem E-02,7
Basic Problems E,Basic Problem E-03,2
Basic Problems E,Basic Problem E-04,8
Basic Problems E,Basic Problem E-05,5
Basic Problems E,Basic Problem E-06,8
Basic Problems E,Basic Problem E-07,7
Basic Problems E,Basic Problem E-08,1
Basic Problems E,Basic Problem E-09,7
Basic Problems E,Basic Problem E-10,8
Basic Problems E,Basic Problem E-11,5
Basic Problems E,Basic Problem E-12,7
Challenge Problems D,Challenge Problem D-01,8
Challenge Problems D,Challenge Problem D-02,2
Challenge Problems D,Challenge Problem D-03,8
Challenge Problems D,Challenge Problem D-04,7
Challenge Problems D,Challenge Problem D-05,7
Challenge Problems D,Challenge Problem D-06,2
Challenge Problems D,Challenge Problem D-07,8
Challenge Problems D,Challenge Problem D-08,7
Challenge Problems D,Challenge Problem D-09,8
Challenge Problems D,Challenge Problem D-10,8
Challenge Problems D,Challenge Problem D-11,5
Challenge Problems D,Challenge Problem D-12,8
Challenge Problems E,Challenge Problem E-01,6
Challenge Problems E,Challenge Problem E-02,1
Challenge Problems E,Challenge Problem E-03,4
Challenge Problems E,Challenge Problem E-04,7
Challenge Problems E,Challenge Problem E-05,7
Challenge Problems E,Challenge Problem E-06,7
Challenge Problems E,Challenge Problem E-07,2
Challenge Problems E,Challenge Problem E-08,1
Challenge Problems E,Challenge Problem E-09,8
Challenge Problems E,Challenge Problem E-10,1
Challenge Problems E,Challenge Problem E-11,1
Challenge Problems E,Challenge Problem E-12,5
